address,business_id,city,latitude,longitude,name,phone_number,postal_code,state
"3000 Plaza Bonita Road",441906,"National City",32.657965,-117.066313,"MACYS #216",,91950,CA
"9460 Mira Mesa Boulevard",404458,"San Diego",32.917267,-117.122433,"GOLDEN STATE SEAFOOD RESTRNT",,92126,CA
"490 N El Camino Real",489091,Oceanside,33.231849,-117.323622,"SAN LUIS REY BAKERY & RESTAURANT",,92058,CA
"6120 Lake Murray Boulevard",269831,"La Mesa",32.790781,-117.021175,"ROSS DRESS FOR LESS STORE #76",,91942,CA
"6984 La Jolla Boulevard",583567,"San Diego",32.832532,-117.276929,"THE PROMISCUOUS FORK",,92037,CA
"27724 Highway 78",565602,Ramona,33.06729,-116.727668,"TRUMPERS FRUIT STAND",,92065,CA
"9001 Towne Centre Drive",283130,"San Diego",32.869833,-117.206941,"CONGREGATION BETH ISRAEL",,92122,CA
"6765 Mira Mesa Blvd",290006,"San Diego",32.907406,-117.171741,"STARBUCKS COFFEE #6943",,92121,CA
"5302 Lake Murray Boulevard",433148,"La Mesa",32.775575,-117.045363,"LAKE MURRAY SHELL",,91942,CA
"274 North El Camino Real",317073,Encinitas,33.051158,-117.260719,"SURF BROTHERS TERIYAKI",,92024,CA
"500 Sea World Drive",491404,"San Diego",32.765993,-117.226628,"SEAWORLD - SEASIDE BAKERY",,92109,CA
"3881 Valley Centre Drive",500828,"San Diego",32.937715,-117.230152,"STARBUCKS COFFEE #5914",,92130,CA
"7081 Broadway",263943,"Lemon Grove",32.742116,-117.046179,"GOLDEN STATE GASOLINE INC",,91945,CA
"2879 Jamacha Rd",302270,"El Cajon",32.741697,-116.93693,STAPLES,,92019,CA
"3647 30th Street",465108,"San Diego",32.744727,-117.129973,PAESANOS,,92104,CA
"7530 Broadway",367512,"Lemon Grove",32.743755,-117.035662,"THE HOME DEPOT #0659",,91945,CA
"4350 University Avenue",251195,"San Diego",32.749873,-117.100582,"DONUT STAR & CHINESE FOOD",,92105,CA
"12889 El Camino Real",340407,"San Diego",32.951921,-117.23364,"DEL MAR HIGHLANDS CARWASH",,92130,CA
"7029 El Cajon Blvd",384601,"San Diego",32.768669,-117.046371,"DUKES LIQUOR DRIVE IN",,92115,CA
"400 Orange Avenue",284560,Coronado,32.694499,-117.175364,"CORONADO ISLAND EXPRESS",,92118,CA
"956 Broadway Circle",571283,"San Diego",32.714909,-117.162997,"DOBSONS BAR AND RESTAURANT",,92101,CA
"5600 Baltimore Drive",573235,"La Mesa",32.781013,-117.033132,"EMERALD OIL",,91942,CA
"4711 Viewridge Avenue",284284,"San Diego",32.823835,-117.120157,"CORNER DELI",,92123,CA
"1080 W San Marcos Blvd",462163,"San Marcos",33.13428,-117.190185,"OLD CALIFORNIA COFFEE HOUSE & EATERY",,92078,CA
"2618 El Camino Real",498813,Carlsbad,33.177258,-117.326377,"SPROUTS FARMERS MARKET",,92008,CA
"2852 Fletcher Parkway",338958,"La Mesa",32.797948,-117.002403,"LA CHINA",,92020,CA
"9828 Mission Gorge Road",461948,Santee,32.840951,-116.981509,"OGGIS PIZZA & BREWING CO",,92071,CA
"455 Santa Fe Dr",61593,Encinitas,33.03616,-117.282613,"24 HOUR FITNESS #114",,92024,CA
"1404 South Mission Road",468291,Fallbrook,33.367463,-117.250215,"PARTY MIX",,92028,CA
"3861 Valley Centre Dr",68103,"San Diego",32.937743,-117.230828,"ACACIA GAS/CAR WASH CARMEL VLY",,92130,CA
"835 S Main Ave",79946,Fallbrook,33.375314,-117.251454,"AQUA CRYSTAL WATER",,92028,CA
"9161 Mission Gorge Road",338508,Santee,32.838592,-116.99877,"THE LEAN BEAN",,92071,CA
"7667 Broadway",422406,"Lemon Grove",32.742615,-117.032993,"JO-ANN FABRIC AND CRAFT STORES #1469",,91945,CA
"5026 Newport Ave",438261,"San Diego",32.747177,-117.251579,"LIVINGSTONS CHICKEN KITCHEN",,92107,CA
"4908 N River Rd",437625,Oceanside,33.250651,-117.300382,"LITTLE CAESARS PIZZA",,92057,CA
"807 Jamacha Road",523515,"El Cajon",32.785041,-116.927545,"TYKES LIQUOR",,92019,CA
"155 Jamacha Rd",97094,"El Cajon",32.794354,-116.93563,"BEST NUTRITION",,92019,CA
"1291 Simpson Way",303222,Escondido,33.120212,-117.103352,"RB CLASSIC COOKING",,92029,CA
"3040 Plaza Bonita Road",295986,"National City",32.655783,-117.066543,"JCPENNEY CORP INC #634",,91950,CA
"2540 El Camino Real",521071,Carlsbad,33.179909,-117.326706,"TOP OF THE BAGEL",,92008,CA
"2041 University Avenue",307485,"San Diego",32.748358,-117.142749,"TWIST SANDWICHES AND MORE LLC",,92104,CA
"3925 Mission Ave",71773,Oceanside,33.22848,-117.324097,"ALBERTSONS 6767",,92058,CA
"3308 Main Street",1006425,"Lemon Grove",32.741941,-117.0313709,"LEMON GROVE BAKERY",,91945,CA
"2000 Main Street",599250,Julian,33.077686,-116.601025,"ORFILA VINEYARDS AT JULIAN",,92036,CA
"2381 La Mirada Dr",605359,Vista,33.151966,-117.227764,"ISAACS CATERING",,92081,CA
"7676 Friars Road",379542,"San Diego",32.772542,-117.158328,"DENNYS #8743",,92108,CA
"4953 Newport Avenue",575802,"San Diego",32.746281,-117.250299,TAIKA,,92107,CA
"3030 Plaza Bonita Road",455129,"National City",32.656338,-117.065814,"MRS FIELDS COOKIES",,91950,CA
"13530 Pomerado Road",474727,Poway,32.960442,-117.063234,"POMERADO LIQUOR",,92064,CA
"500 Sea World Drive",491394,"San Diego",32.765993,-117.226628,"SEAWORLD - CRAFT BEER CART",,92109,CA
"330 West Broadway",398895,"San Diego",32.71584,-117.166055,"FRESCA MEXICAN GRILL",,92101,CA
"4804 University Avenue",614073,"San Diego",32.74972,-117.090903,"CITY HEIGHTS CAFE",,92105,CA
"832 S Main Ave",159992,Fallbrook,33.375084,-117.251457,"FALLBROOK WATER MARKET",,92028,CA
"6957 El Cajon Boulevard",341469,"San Diego",32.768351,-117.047884,"ILLUSIONS SMOKE SHOP",,92115,CA
"12750 Carmel Country Road",231739,"San Diego",32.953887,-117.230013,"CARMEL VALLEY LIQUOR",,92130,CA
"5202 El Cajon Boulevard",973297,"San Diego",32.757553,-117.0833289,"7-ELEVEN #13659G",,92115,CA
"5407 Balboa Avenue",560098,"San Diego",32.819334,-117.180914,"BOUDIN BAKERY",,92111,CA
"4020 Goldfinch Street",586172,"San Diego",32.750305,-117.171673,"THE PATIO ON GOLDFINCH",,92103,CA
"575 E Main St",146705,"El Cajon",32.794888,-116.955061,"KING PRICE",,92020,CA
"7458 Broadway",611130,"Lemon Grove",32.743114,-117.037027,ECONOLODGE,,91945,CA
"168 W Mission Ave",574855,Escondido,33.129755,-117.087331,"LA COCINA DE ANITA",,92025,CA
"811 Prospect Street",1009590,"San Diego",32.845435,-117.2762709,"STREETCAR MERCHANTS / THE MILKBAR",,92037,CA
"16759 Bernardo Center Drive",1006488,"San Diego",33.017952,-117.0746249,IHOP,,92128,CA
"4011 Avati Drive",247749,"San Diego",32.813935,-117.217105,"ISA BELLA RESTAURANT",,92117,CA
"915 Pearl Street",1006414,"San Diego",32.8402021578947,-117.273440263158,"MASALA STREET",,92037,CA
"902 West Washington Street",575646,"San Diego",32.750048,-117.171751,"HARLEY GRAY KITCHEN & BAR",,92103,CA
"500 Sea World Drive",491397,"San Diego",32.765993,-117.226628,"SEAWORLD - DOLPHIN WEST",,92109,CA
"1025 West Laurel Street",598040,"San Diego",32.72988,-117.172201,"SUBWAY # 43490",,92101,CA
"660 Via de la Valle",993923,"Solana Beach",32.9796153201631,-117.257931528665,"ARCO AMPM",,92075,CA
"7513 Broadway",569976,"Lemon Grove",32.742554,-117.036008,"CROWN OIL USA #787",,91945,CA
"7094 Miramar Rd",138807,"San Diego",32.879303,-117.161947,"CHURCHILL CIGAR LOUNGE",,92121,CA
"3607 College Ave",182768,"San Diego",32.745951,-117.059007,"SKY LIQUOR INC",,92115,CA
"8099 Broadway",78048,"Lemon Grove",32.743285,-117.023501,"ANNAS FAMILY RESTAURANT",,91945,CA
"7612 Linda Vista Road",518870,"San Diego",32.801509,-117.157825,"THE YOGURT CUP",,92111,CA
"12002 Carmel Mountain Rd",175895,"San Diego",32.983529,-117.076001,"RUBIOS FRESH MEXICAN GRILL",,92128,CA
"7840 Broadway",388981,"Lemon Grove",32.742784,-117.029277,"EL POLLO GRILL",,91945,CA
"2858 Main St",302726,"San Diego",32.692791,-117.132561,"MAIN MARKET & DELI #2",,92113,CA
"4977 El Cajon Boulevard",434307,"San Diego",32.756649,-117.087206,"LAST CALL",,92115,CA
"2949 Beyer Boulevard",497703,"San Diego",32.578044,-117.070484,"SOUTHBAY NUTRITION",,92154,CA
"807 W Washington St",142584,"San Diego",32.749789,-117.170755,"CAFE BLEU BISTRO & WINE LOUNGE",,92103,CA
"1177 Broadway",384637,"Chula Vista",32.608312,-117.080051,"DULCERIAS AZTECAS",,91911,CA
"2060 India St",168666,"San Diego",32.726198,-117.169352,"PUERTO LA BOCA ARGENTINIAN GRILL",,92101,CA
"1200 Garnet Ave",162304,"San Diego",32.798173,-117.2482,TAVERN,,92109,CA
"966 Felspar Street",229468,"San Diego",32.798238,-117.252793,"CANTINA PANADERIA",,92109,CA
"2401 Truxtun Road",488789,"San Diego",32.736202,-117.217329,"SAMMYS WOODFIRED PIZZA",,92106,CA
"125 Grand Avenue",475715,Escondido,33.121167,-117.081926,"POUNDERS SPORT PUB",,92025,CA
"1208 Broadway",344827,"Chula Vista",32.606469,-117.079964,"LOS TAQUITOS MEXICAN GRILL",,91911,CA
"1301 Las Villas Way",488351,Escondido,33.140291,-117.094545,"SALVATION ARMY",,92026,CA
"6385 University Ave",484627,"San Diego",32.754541,-117.058762,"ROLANDO MARKET",,92115,CA
"1500 Orange Avenue",293100,"San Diego",32.680945,-117.178264,"HOTEL DEL CORONADO - SHEERWATER KITCHEN",,92118,CA
"3450 College Avenue",313918,"San Diego",32.744076,-117.053274,"ROSS DRESS FOR LESS",,92115,CA
"13305 Highway 8 Business",581189,"El Cajon",32.832463,-116.905395,"LOS COCHES LIQUOR AND DELI",,92021,CA
"4696 Clairemont Mesa Boulevard",380138,"San Diego",32.834551,-117.189369,"DIANES LIQUOR",,92117,CA
"402 Civic Center Dr",373705,"National City",32.67028,-117.109636,"COZINES GROCERY",,91950,CA
"3724 Del Sol Blvd",227569,"San Diego",32.573319,-117.054489,"CALIF FINEST MOBIL OIL",,92154,CA
"139 Pawnee St",164430,"San Marcos",33.147242,-117.197995,"R & B CATERING",,92078,CA
"265 Marketplace Ave",65642,"San Diego",32.70242,-117.099592,"99 CENT ONLY STORES #212",,92113,CA
"5617 Balboa Ave",102106,"San Diego",32.819892,-117.17992,"BLARNEY STONE PUB",,92111,CA
"11588 Via Rancho San Diego",173530,"El Cajon",32.747982,-116.92942,"LA VIDA REAL LLC",,92019,CA
"4259 Oceanside Boulevard",407252,Oceanside,33.207979,-117.28169,"GUAHAN GRILL",,92056,CA
"4170 Oceanside Boulevard",207724,Oceanside,33.20712,-117.285938,"PIZZA HUT",,92054,CA
"7825 Fay Ave",209532,"La Jolla",32.845308,-117.275396,"LEAN AND GREEN CAFE",,92037,CA
"890 North Santa Fe Avenue",486029,Vista,33.211281,-117.245356,"ROYAL LIQUOR OF VISTA",,92084,CA
"2750 Dewey Road",282809,"San Diego",32.738065,-117.212493,"CON PANE RUSTIC BREADS & CAFE",," 9210",CA
"30012 Old Highway 395",73020,Escondido,33.259326,-117.155302,"ALL SEASON MARKET",,92026,CA
"6405 University Avenue",273048,"San Diego",32.754459,-117.058039,"PARTY HOUSE LIQUOR",,92115,CA
"704 Garnet Avenue",429096,"San Diego",32.796408,-117.256534,KONOS,,92109,CA
"412 K Street",277786,"San Diego",32.708404,-117.160777,"CINE CAFE",,92101,CA
"2499 Market Street",412176,"San Diego",32.711507,-117.140394,"HILLTOP LIQUOR",,92102,CA
"652 Palomar Street",312086,"Chula Vista",32.60278,-117.08178,"OFFICE DEPOT #935",,91911,CA
"4642 Park Blvd",171018,"San Diego",32.761795,-117.146319,"EL ZARAPE MEXICAN RESTAURANT",,92116,CA
"708 Center Drive",466273,"San Marcos",33.133557,-117.122259,"PANDA EXPRESS #946",,92069,CA
"2998 State Street",231648,Carlsbad,33.15995,-117.348504,"CARLSBAD CHOCOLATE BAR",,92008,CA
"8575 Los Coches Rd",386220,"El Cajon",32.831686,-116.904726,"EAST COUNTY GAS LIQ",,92021,CA
"1285 South Mission Road",364924,Fallbrook,33.369727,-117.251726,"WALGREENS #11081",,92028,CA
"3317 Palm Ave",446235,"San Diego",32.583756,-117.061436,"MAYA PARTY SUPPLIES,WATER STORE",,92154,CA
"750 Beyer Way",98160,"San Diego",32.581568,-117.061966,"BEYER MARKET & LIQUOR",,92154,CA
"16405 Bernardo Center Dr",299595,"San Diego",33.012537,-117.079079,"R B SUSHI",,92128,CA
"1403 S Santa Fe Ave",81755,Vista,33.184727,-117.223112,"ARCO AMPM",,92083,CA
"31123 Highway 94",562735,Campo,32.608373,-116.474164,"CAMPO DEPOT GIFT SHOP",,91906,CA
"1310 E Mission Rd",164428,"San Marcos",33.136611,-117.130805,"RIGOBERTOS TACO SHOP",,92069,CA
"1177 Broadway",168726,"Chula Vista",32.60819,-117.080494,"FRUTERIA LA CAPIRUCHA",,91911,CA
"4227 Balboa Avenue",443335,"San Diego",32.81165,-117.20005,"MANDARIN WOK",,92117,CA
"4628 Park Blvd",144788,"San Diego",32.76152,-117.146318,"SMALL BAR SUPPER CLUB",,92116,CA
"3351 Adams Avenue",424690,"San Diego",32.763269,-117.121596,"JYOTI BIHANGA",,92116,CA
"2822 Imperial Ave",263611,"San Diego",32.706376,-117.133295,"LAS MORELIANAS",,92102,CA
"1500 Orange Avenue",601669,Coronado,32.680351,-117.177892,"HOTEL DEL CORONADO - 1500 OCEAN KITCHEN AND SUN BAR",,92118,CA
"7069 Consolidated Way",279363,"San Diego",32.877201,-117.163159,"CLASSIC PARTY RENTALS",,92121,CA
"274 Harbor Dr",248884,Oceanside,33.207488,-117.390254,"TONYS SPORTS BAR & GRILL",,92054,CA
"3090 Clairemont Drive",973293,"San Diego",32.797057,-117.1935469,"7 ELEVEN #19663F",,92117,CA
"1050 Garnet Avenue",224789,"San Diego",32.797655,-117.250931,"CABO CANTINA",,92109,CA
"6965 Consolidated Way",454050,"San Diego",32.877451,-117.168781,"MOR FURNITURE",,92121,CA
"11160 Rancho Carmel Dr",499889,"San Diego",32.980214,-117.082514,"STAPLES #362",,92128,CA
"1717 East Vista Way",413009,Vista,33.22532,-117.226083,"HOLIDAY LIQUOR MARKET",,92084,CA
"868 East Vista Way",323543,Vista,33.211025,-117.233502,"VISTA WAY CAFE",,92084,CA
"965 Arnele Avenue",521654,"El Cajon",32.802474,-116.974593,"TOYOTA OF EL CAJON",,92020,CA
"2957 Beyer Boulevard",323656,"San Diego",32.578045,-117.070468,"K & M NEWPORT LIQUOR",,92154,CA
"1370 East Vista Way",262910,Vista,33.218827,-117.226203,"LA BOTA LIQUOR AND DELI",,92084,CA
"4140 Oceanside Boulevard",243961,Oceanside,33.207419,-117.287909,"CHINS SZECHWAN",,92056,CA
"1299 Broadway",289905,"El Cajon",32.80736,-116.93657,"CVS PHARMACY #9114",,82071,CA
"280 Harbor Dr",350784,Oceanside,33.207556,-117.390271,"NANAS & POP POPS SWEET SHOP",,92054,CA
"477 Harbor Dr",461692,Oceanside,33.208815,-117.388514,"OCEANSIDE HARBOR MOBIL",,92054,CA
"1835 Columbia Street",373444,"San Diego",32.724602,-117.167409,"THE GLASS DOOR",,92101,CA
"5480 Grand Pacific Dr",493120,Carlsbad,33.131362,-117.310121,"SHERATON CSBD RESORT & SPA TWENTY/20",,92008,CA
"2665 Market Street",222713,"San Diego",32.711533,-117.136799,"GLORIAS PRODUCE",,92102,CA
"4745 El Cajon Blvd",64610,"San Diego",32.755958,-117.092544,"7-ELEVEN 2111-27744C",,92115,CA
"29801 Oak Dr",433145,Campo,32.679406,-116.505209,"LAKE MORENA COUNTRY MARKET",,91906,CA
"5019 Cass St",434450,"San Diego",32.806113,-117.254515,"LATITUDE 32",,92109,CA
"617 Pearl St",473568,"La Jolla",32.839479,-117.276951,"PIZZA ON PEARL",,92037,CA
"4160 Oceanside Boulevard",503493,Oceanside,33.207949,-117.286753,SUBWAY,,92056,CA
"8697 La Mesa Boulevard",431692,"La Mesa",32.769087,-117.009335,"LA MESA BISTRO & BAKERY",,91942,CA
"735 Arnele Ave",82673,"El Cajon",32.803939,-116.972946,"ARNELE MARKET & LIQUOR",,92020,CA
"550 West Washington Avenue",417518,Escondido,33.125499,-117.087441,"INTERFAITH COMMUNITY SVS",,92025,CA
"1581 East Vista Way",579641,Vista,33.222452,-117.225755,"SIDEWALK SPIRITS",,92084,CA
"1165 Garnet Avenue",974115,"San Diego",32.7979421408808,-117.248837494095,"MOONSHINE BEACH CERVEZA JACKS",,92109,CA
"9740 Mission Gorge Road",1006582,Santee,32.839716,-116.9844649,FRUTIZA,,92071,CA
"730 Nordahl Rd",91997,"San Marcos",33.134531,-117.119852,"BASKIN ROBBINS",,92069,CA
"120 South Mollison Avenue",594323,"El Cajon",32.794588,-116.951057,"MAIN STREET LIQ",,92020,CA
"4250 Bonita Road",694869,Bonita,32.6602842811557,-117.035351371884,"ESPRESSO BAR SERVICES",,91902,CA
"1187 Broadway",561330,"Chula Vista",32.607396,-117.079605,"BROADWAY DINER",,91911,CA
"4253 Palm Avenue",611127,"La Mesa",32.756224,-117.01438,"CRAFT KITCHEN",,91941,CA
"398 El Cajon Blvd",160004,"El Cajon",32.791628,-116.971088,"C-STOP #5247",,92020,CA
"5500 Grand Pacific Dr",298247,Carlsbad,33.129032,-117.30913,"MARBRISA COVE AT GRAND PACIFIC",,92008,CA
"2951 Beyer Boulevard",560480,"San Diego",32.574442,-117.066801,"TORNEL NUTRITION CENTER",,92154,CA
"2754 Calhoun Street",1010125,"San Diego",32.7556418067659,-117.198593248702,"NIBBLE CHOCOLATE",,92110,CA
"101 Broadway",1006460,"San Diego",32.715633,-117.16368,"CORNER BAKERY CAFE",,92101,CA
"2076 Logan Avenue",363672,"San Diego",32.699406,-117.141156,"RAINBOW PARTY SUPPLY",,92113,CA
"12212 Woodside Avenue",973246,Riverview,32.856584,-116.927868,"MILAS LAKESIDE CAFE",,92040,CA
"2260 Otay Lakes Rd, 102",560637,"Chula Vista",32.647767,-116.96635,"WHICH WICH #420",,91915,CA
"535 North Santa Fe Avenue",566390,Vista,33.207182,-117.244585,"UNITED OIL #37",,92083,CA
"2711 Imperial Ave",258114,"San Diego",32.706367,-117.13556,"FRUITY LOCO MARKET",,92102,CA
"3450 Marron Rd",71761,Oceanside,33.178011,-117.296511,"ALBERTSONS 6733",,92056,CA
"10603 Rancho Bernardo Road",995892,Poway,33.0217670621949,-117.10493019683,"ACTIVCARE AT 4S RANCH",,92127,CA
"800 Seacoast Dr",151800,"Imperial Beach",32.581411,-117.131694,"SEACOAST INN",,91932,CA
"120 West Broadway",513403,Hillcrest,32.715989,-117.164421,"TENDER GREENS",,92101,CA
"2215 Kettner Boulevard",207684,"San Diego",32.727487,-117.170569,"SAN DIEGO CELLARS",,92101,CA
"6802 El Cajon Boulevard",562565,"San Diego",32.768706,-117.051301,"CALIFORNIA KEG AND LIQUOR #2",,92115,CA
"1183 East Main Street",442590,"El Cajon",32.794575,-116.941776,"MAIN STREET LIQUOR #3",,92019,CA
"3066 Clairemont Drive",569568,"San Diego",32.796403,-117.193566,"COTIJAS TACO SHOP",,92117,CA
"31080 Highway 94",562736,Campo,32.607183,-116.475228,"CAMPO TRADING POST",,91906,CA
"5001 Newport Ave",108131,"San Diego",32.746942,-117.251204,"BRAVOS MEXICAN BISTRO & CANTINA",,92107,CA
"680 Main Street",465016,Ramona,33.04476,-116.863405,PACKARDS,,92065,CA
"11048 Ice Skate Place",265332,"San Diego",32.922385,-117.122697,"ISKATE INC",,92126,CA
"10785 Pomerado Rd",146656,"San Diego",32.904693,-117.085679,"THE PLACE",,92131,CA
