"business_id","Score","date","type"
67,94,"20161019","Routine - Unscheduled"
67,,"20160707","Complaint"
67,,"20160408","Reinspection/Followup"
67,87,"20160401","Routine - Unscheduled"
67,90,"20150520","Routine - Unscheduled"
67,,"20140318","Reinspection/Followup"
67,94,"20140205","Routine - Unscheduled"
73,,"20161017","Reinspection/Followup"
73,,"20161007","Reinspection/Followup"
73,92,"20160927","Routine - Unscheduled"
73,,"20150827","Reinspection/Followup"
73,,"20150720","Reinspection/Followup"
73,85,"20150717","Routine - Unscheduled"
73,92,"20140522","Routine - Unscheduled"
76,98,"20161005","Routine - Unscheduled"
76,100,"20160311","Routine - Unscheduled"
76,100,"20141124","Routine - Unscheduled"
76,96,"20140612","Routine - Unscheduled"
77,96,"20161005","Routine - Unscheduled"
77,91,"20160311","Routine - Unscheduled"
77,96,"20141124","Routine - Unscheduled"
77,94,"20140612","Routine - Unscheduled"
80,98,"20160412","Routine - Unscheduled"
80,100,"20140520","Routine - Unscheduled"
81,,"20150504","Reinspection/Followup"
81,96,"20150330","Routine - Unscheduled"
81,,"20150316","Non-inspection site visit"
81,92,"20140210","Routine - Unscheduled"
88,,"20161207","Non-inspection site visit"
88,,"20151006","Reinspection/Followup"
88,89,"20150824","Routine - Unscheduled"
88,,"20141110","Reinspection/Followup"
88,,"20141024","Reinspection/Followup"
88,,"20141017","Reinspection/Followup"
88,,"20141016","Reinspection/Followup"
88,74,"20141014","Routine - Unscheduled"
88,,"20140319","Reinspection/Followup"
88,78,"20140211","Routine - Unscheduled"
95,,"20160829","Reinspection/Followup"
95,86,"20160718","Routine - Unscheduled"
95,88,"20151210","Routine - Unscheduled"
95,85,"20141009","Routine - Unscheduled"
95,,"20140523","Reinspection/Followup"
95,86,"20140506","Routine - Unscheduled"
98,96,"20160316","Routine - Unscheduled"
98,94,"20150629","Routine - Unscheduled"
98,96,"20140324","Routine - Unscheduled"
99,,"20150818","Reinspection/Followup"
99,76,"20150811","Routine - Unscheduled"
101,98,"20160525","Routine - Unscheduled"
101,96,"20140902","Routine - Unscheduled"
102,85,"20161103","Routine - Unscheduled"
102,100,"20150609","Routine - Unscheduled"
102,,"20140514","Reinspection/Followup"
102,91,"20140507","Routine - Unscheduled"
108,94,"20150417","Routine - Unscheduled"
116,,"20160610","Reinspection/Followup"
116,76,"20160527","Routine - Unscheduled"
116,,"20150814","Non-inspection site visit"
116,96,"20140910","Routine - Unscheduled"
121,,"20151029","Reinspection/Followup"
121,86,"20151020","Routine - Unscheduled"
121,,"20140820","Reinspection/Followup"
121,90,"20140813","Routine - Unscheduled"
121,,"20140212","Reinspection/Followup"
121,87,"20140129","Routine - Unscheduled"
125,92,"20160520","Routine - Unscheduled"
125,100,"20140915","Routine - Unscheduled"
126,,"20160510","Complaint"
126,80,"20151201","Routine - Unscheduled"
126,,"20151201","Complaint"
126,,"20141103","Reinspection/Followup"
126,75,"20141028","Routine - Unscheduled"
126,70,"20140410","Routine - Unscheduled"
132,81,"20160509","Routine - Unscheduled"
132,,"20160509","Reinspection/Followup"
132,86,"20150225","Routine - Unscheduled"
132,,"20140717","Reinspection/Followup"
132,88,"20140625","Routine - Unscheduled"
134,98,"20150806","Routine - Unscheduled"
140,,"20160520","Reinspection/Followup"
140,85,"20160414","Routine - Unscheduled"
140,96,"20140709","Routine - Unscheduled"
140,,"20131227","Non-inspection site visit"
141,100,"20160627","Routine - Unscheduled"
141,100,"20141017","Routine - Unscheduled"
141,98,"20140409","Routine - Unscheduled"
146,84,"20161017","Routine - Unscheduled"
146,84,"20160407","Routine - Unscheduled"
146,,"20150730","Reinspection/Followup"
146,91,"20150723","Routine - Unscheduled"
146,98,"20140429","Routine - Unscheduled"
146,,"20140416","Complaint"
151,92,"20160726","Routine - Unscheduled"
151,,"20150812","Complaint Reinspection/Followup"
151,,"20150701","Complaint Reinspection/Followup"
151,,"20150629","Complaint Reinspection/Followup"
151,87,"20150520","Routine - Unscheduled"
151,96,"20140312","Routine - Unscheduled"
155,100,"20151229","Routine - Unscheduled"
155,,"20150618","Reinspection/Followup"
155,87,"20150610","Routine - Unscheduled"
155,,"20140722","Reinspection/Followup"
155,94,"20140623","Routine - Unscheduled"
155,94,"20140224","Routine - Unscheduled"
164,87,"20161110","Routine - Unscheduled"
164,96,"20151106","Routine - Unscheduled"
164,100,"20141017","Routine - Unscheduled"
164,100,"20140403","Routine - Unscheduled"
178,,"20160708","Reinspection/Followup"
178,66,"20160623","Routine - Unscheduled"
178,90,"20140730","Routine - Unscheduled"
178,96,"20140204","Routine - Unscheduled"
179,94,"20140522","Routine - Unscheduled"
180,94,"20161220","Routine - Unscheduled"
180,,"20160719","Non-inspection site visit"
180,98,"20160617","Routine - Unscheduled"
180,88,"20160106","Routine - Unscheduled"
180,91,"20141104","Routine - Unscheduled"
180,100,"20140520","Routine - Unscheduled"
184,98,"20161003","Routine - Unscheduled"
184,96,"20140923","Routine - Unscheduled"
187,89,"20160511","Routine - Unscheduled"
187,,"20160429","Non-inspection site visit"
187,100,"20141023","Routine - Unscheduled"
187,100,"20140401","Routine - Unscheduled"
190,100,"20161206","Routine - Unscheduled"
190,92,"20150327","Routine - Unscheduled"
190,98,"20140421","Routine - Unscheduled"
192,,"20161018","Complaint"
192,90,"20160628","Routine - Unscheduled"
192,92,"20140813","Routine - Unscheduled"
194,,"20150429","Reinspection/Followup"
194,80,"20150420","Routine - Unscheduled"
194,90,"20140307","Routine - Unscheduled"
194,88,"20140305","Routine - Unscheduled"
198,92,"20151029","Routine - Unscheduled"
198,94,"20150206","Routine - Unscheduled"
198,96,"20140505","Routine - Unscheduled"
200,94,"20151001","Routine - Unscheduled"
200,,"20150220","Reinspection/Followup"
200,87,"20150129","Routine - Unscheduled"
200,92,"20140317","Routine - Unscheduled"
208,92,"20151007","Routine - Unscheduled"
208,,"20150928","Non-inspection site visit"
208,,"20150224","Reinspection/Followup"
208,94,"20150212","Routine - Unscheduled"
208,,"20140603","Complaint"
208,,"20140415","Reinspection/Followup"
208,91,"20140313","Routine - Unscheduled"
216,100,"20150126","Routine - Unscheduled"
216,100,"20140626","Routine - Unscheduled"
217,90,"20160912","Routine - Unscheduled"
217,94,"20160329","Routine - Unscheduled"
217,94,"20150818","Routine - Unscheduled"
217,94,"20140624","Routine - Unscheduled"
217,,"20140311","Complaint"
221,100,"20160511","Routine - Unscheduled"
221,91,"20140122","Routine - Unscheduled"
226,,"20160627","Reinspection/Followup"
226,82,"20160523","Routine - Unscheduled"
226,,"20150430","Non-inspection site visit"
226,89,"20140910","Routine - Unscheduled"
231,,"20160316","Reinspection/Followup"
231,88,"20160301","Routine - Unscheduled"
231,,"20140911","Reinspection/Followup"
231,92,"20140902","Routine - Unscheduled"
231,92,"20140204","Routine - Unscheduled"
234,,"20161019","Reinspection/Followup"
234,81,"20160927","Routine - Unscheduled"
234,81,"20160503","Routine - Unscheduled"
234,,"20150513","Reinspection/Followup"
234,82,"20150505","Routine - Unscheduled"
234,,"20140617","Reinspection/Followup"
234,79,"20140415","Routine - Unscheduled"
236,96,"20161017","Routine - Unscheduled"
236,94,"20151214","Routine - Unscheduled"
236,,"20150112","Reinspection/Followup"
236,88,"20141118","Routine - Unscheduled"
239,84,"20160525","Routine - Unscheduled"
239,90,"20140507","Routine - Unscheduled"
240,82,"20161004","Routine - Unscheduled"
240,,"20150828","Reinspection/Followup"
240,68,"20150813","Routine - Unscheduled"
240,,"20140822","Reinspection/Followup"
240,79,"20140724","Routine - Unscheduled"
240,79,"20140206","Routine - Unscheduled"
247,86,"20161114","Routine - Unscheduled"
247,,"20160519","Reinspection/Followup"
247,83,"20160503","Routine - Unscheduled"
247,,"20140918","Reinspection/Followup"
247,83,"20140909","Routine - Unscheduled"
247,94,"20140304","Routine - Unscheduled"
251,96,"20160616","Routine - Unscheduled"
251,96,"20140612","Routine - Unscheduled"
253,96,"20161208","Routine - Unscheduled"
253,94,"20160622","Routine - Unscheduled"
253,98,"20150217","Routine - Unscheduled"
253,100,"20140505","Routine - Unscheduled"
253,,"20140312","Non-inspection site visit"
256,96,"20161019","Routine - Unscheduled"
256,,"20161005","Non-inspection site visit"
256,100,"20150908","Routine - Unscheduled"
256,,"20150217","Non-inspection site visit"
256,98,"20140303","Routine - Unscheduled"
258,,"20161028","Reinspection/Followup"
258,,"20160922","Complaint"
258,78,"20160922","Routine - Unscheduled"
258,88,"20160407","Routine - Unscheduled"
258,98,"20150528","Routine - Unscheduled"
258,94,"20141003","Routine - Unscheduled"
258,96,"20140407","Routine - Unscheduled"
267,84,"20160721","Routine - Unscheduled"
267,,"20150804","Reinspection/Followup"
267,69,"20150730","Routine - Unscheduled"
267,93,"20140528","Routine - Unscheduled"
268,91,"20160725","Routine - Unscheduled"
268,94,"20150903","Routine - Unscheduled"
268,,"20150903","Complaint"
268,96,"20140829","Routine - Unscheduled"
268,98,"20140224","Routine - Unscheduled"
272,,"20160525","Reinspection/Followup"
272,78,"20160517","Routine - Unscheduled"
272,72,"20141203","Routine - Unscheduled"
272,86,"20140422","Routine - Unscheduled"
273,,"20161014","Reinspection/Followup"
273,,"20160929","Reinspection/Followup"
273,78,"20160920","Routine - Unscheduled"
273,,"20150526","Reinspection/Followup"
273,80,"20150519","Routine - Unscheduled"
273,,"20140910","Reinspection/Followup"
273,71,"20140813","Routine - Unscheduled"
275,96,"20161031","Routine - Unscheduled"
275,,"20151029","Reinspection/Followup"
275,96,"20151020","Routine - Unscheduled"
275,,"20141017","Reinspection/Followup"
275,94,"20141006","Routine - Unscheduled"
275,96,"20140328","Routine - Unscheduled"
276,100,"20151103","Routine - Unscheduled"
276,,"20150611","Non-inspection site visit"
276,98,"20140806","Routine - Unscheduled"
279,98,"20160518","Routine - Unscheduled"
279,94,"20151020","Routine - Unscheduled"
279,100,"20140909","Routine - Unscheduled"
279,98,"20140107","Routine - Unscheduled"
281,96,"20160606","Routine - Unscheduled"
281,96,"20140905","Routine - Unscheduled"
283,73,"20151001","Routine - Unscheduled"
286,,"20161118","Reinspection/Followup"
286,82,"20161102","Routine - Unscheduled"
286,,"20160617","Reinspection/Followup"
286,72,"20160607","Routine - Unscheduled"
286,,"20140428","Complaint"
286,90,"20140327","Routine - Unscheduled"
286,,"20140313","Reinspection/Followup"
286,,"20140312","Reinspection/Followup"
286,,"20140312","New Construction"
286,,"20140108","New Construction"
290,89,"20160615","Routine - Unscheduled"
290,,"20141219","Reinspection/Followup"
290,80,"20141210","Routine - Unscheduled"
290,96,"20140409","Routine - Unscheduled"
298,,"20161027","Reinspection/Followup"
298,88,"20161013","Routine - Unscheduled"
298,87,"20160408","Routine - Unscheduled"
298,,"20150828","Complaint"
298,80,"20150828","Routine - Unscheduled"
298,,"20150828","Reinspection/Followup"
298,,"20141125","New Construction"
298,,"20141124","New Construction"
298,,"20141114","New Construction"
298,94,"20140919","Routine - Unscheduled"
298,96,"20140121","Routine - Unscheduled"
299,96,"20160705","Routine - Unscheduled"
299,96,"20150309","Routine - Unscheduled"
299,92,"20140306","Routine - Unscheduled"
300,,"20160415","Reinspection/Followup"
300,68,"20160413","Routine - Unscheduled"
300,,"20151122","New Construction"
300,96,"20141126","Routine - Unscheduled"
300,,"20140630","Complaint"
300,96,"20140507","Routine - Unscheduled"
302,,"20160913","Reinspection/Followup"
302,89,"20160902","Routine - Unscheduled"
302,,"20150422","Reinspection/Followup"
302,,"20150420","Reinspection/Followup"
302,,"20150420","Reinspection/Followup"
302,,"20150417","Reinspection/Followup"
302,69,"20150408","Routine - Unscheduled"
302,94,"20140304","Routine - Unscheduled"
302,,"20140224","Reinspection/Followup"
305,87,"20160518","Routine - Unscheduled"
305,,"20141205","Reinspection/Followup"
305,85,"20141204","Routine - Unscheduled"
305,,"20141204","Reinspection/Followup"
305,88,"20140321","Routine - Unscheduled"
315,92,"20161110","Routine - Unscheduled"
315,94,"20150929","Routine - Unscheduled"
315,,"20150519","Reinspection/Followup"
315,89,"20150518","Routine - Unscheduled"
315,,"20140514","Complaint"
315,,"20140324","Reinspection/Followup"
315,88,"20140310","Routine - Unscheduled"
318,94,"20151113","Routine - Unscheduled"
318,94,"20141107","Routine - Unscheduled"
318,94,"20140205","Routine - Unscheduled"
320,,"20160928","Reinspection/Followup"
320,68,"20160920","Routine - Unscheduled"
320,84,"20150429","Routine - Unscheduled"
320,85,"20140611","Routine - Unscheduled"
323,94,"20161108","Routine - Unscheduled"
323,100,"20160112","Routine - Unscheduled"
323,100,"20140114","Routine - Unscheduled"
326,,"20160825","Reinspection/Followup"
326,82,"20160818","Routine - Unscheduled"
326,,"20160720","New Construction"
326,88,"20140522","Routine - Unscheduled"
326,,"20140318","Reinspection/Followup"
328,,"20161202","Reinspection/Followup"
328,81,"20161122","Routine - Unscheduled"
328,,"20160401","Reinspection/Followup"
328,,"20160309","Reinspection/Followup"
328,,"20160308","Reinspection/Followup"
328,,"20160305","Reinspection/Followup"
328,,"20160305","Reinspection/Followup"
328,90,"20160105","Routine - Unscheduled"
328,94,"20140305","Routine - Unscheduled"
335,,"20160217","Reinspection/Followup"
335,79,"20160217","Routine - Unscheduled"
335,76,"20150401","Routine - Unscheduled"
335,,"20140507","Reinspection/Followup"
335,79,"20140306","Routine - Unscheduled"
337,90,"20160520","Routine - Unscheduled"
337,94,"20140402","Routine - Unscheduled"
337,,"20140325","Non-inspection site visit"
379,,"20160617","Reinspection/Followup"
379,74,"20160610","Routine - Unscheduled"
379,100,"20141202","Routine - Unscheduled"
379,,"20140324","Complaint"
379,89,"20140317","Routine - Unscheduled"
383,100,"20160520","Routine - Unscheduled"
383,100,"20150223","Routine - Unscheduled"
383,88,"20140822","Routine - Unscheduled"
384,88,"20140506","Routine - Unscheduled"
385,,"20160720","Reinspection/Followup"
385,,"20160718","Reinspection/Followup"
385,83,"20160708","Routine - Unscheduled"
385,,"20150413","Non-inspection site visit"
385,90,"20150410","Routine - Unscheduled"
385,,"20150130","Complaint"
385,,"20150130","Complaint"
385,,"20150129","Complaint"
385,,"20150113","Complaint"
385,,"20150108","Complaint"
385,,"20150105","Complaint"
385,90,"20140306","Routine - Unscheduled"
386,,"20160429","Complaint"
386,82,"20160429","Routine - Unscheduled"
386,,"20160425","Complaint"
386,90,"20160127","Routine - Unscheduled"
386,83,"20141024","Routine - Unscheduled"
386,90,"20140424","Routine - Unscheduled"
389,100,"20141217","Routine - Unscheduled"
393,,"20160809","Reinspection/Followup"
393,84,"20160722","Routine - Unscheduled"
393,90,"20150707","Routine - Unscheduled"
393,,"20140912","Complaint Reinspection/Followup"
393,,"20140818","Complaint"
393,,"20140807","Complaint"
393,94,"20140625","Routine - Unscheduled"
394,96,"20160719","Routine - Unscheduled"
394,100,"20140625","Routine - Unscheduled"
394,100,"20140124","Routine - Unscheduled"
395,96,"20160719","Routine - Unscheduled"
395,100,"20140625","Routine - Unscheduled"
395,98,"20140123","Routine - Unscheduled"
397,,"20161024","Reinspection/Followup"
397,94,"20160909","Routine - Unscheduled"
397,,"20150115","New Construction"
397,,"20150113","New Construction"
397,96,"20140624","Routine - Unscheduled"
397,100,"20140124","Routine - Unscheduled"
400,100,"20160608","Routine - Unscheduled"
400,94,"20140613","Routine - Unscheduled"
403,,"20160708","Reinspection/Followup"
403,81,"20160701","Routine - Unscheduled"
403,81,"20150723","Routine - Unscheduled"
403,85,"20140530","Routine - Unscheduled"
409,98,"20150414","Routine - Unscheduled"
413,,"20161017","Reinspection/Followup"
413,,"20160916","Reinspection/Followup"
413,78,"20160830","Routine - Unscheduled"
413,87,"20140627","Routine - Unscheduled"
415,,"20150924","Reinspection/Followup"
415,87,"20150903","Routine - Unscheduled"
415,,"20140805","Reinspection/Followup"
415,87,"20140729","Routine - Unscheduled"
415,83,"20140124","Routine - Unscheduled"
420,,"20160602","Reinspection/Followup"
420,,"20160513","Reinspection/Followup"
420,78,"20160504","Routine - Unscheduled"
420,,"20150324","Reinspection/Followup"
420,,"20150109","Reinspection/Followup"
420,72,"20150108","Routine - Unscheduled"
420,,"20140527","Reinspection/Followup"
420,86,"20140520","Routine - Unscheduled"
421,,"20160708","Reinspection/Followup"
421,89,"20160520","Routine - Unscheduled"
421,,"20141103","Reinspection/Followup"
421,79,"20141021","Routine - Unscheduled"
422,94,"20160927","Routine - Unscheduled"
422,,"20151001","Reinspection/Followup"
422,92,"20150918","Routine - Unscheduled"
422,86,"20140626","Routine - Unscheduled"
423,,"20161117","Complaint"
423,,"20160902","Reinspection/Followup"
423,85,"20160901","Routine - Unscheduled"
423,85,"20141209","Routine - Unscheduled"
423,,"20141209","Foodborne Illness Investigation"
423,,"20140908","Non-inspection site visit"
423,,"20140725","Reinspection/Followup"
423,88,"20140716","Routine - Unscheduled"
424,,"20150828","Complaint"
424,,"20150603","Reinspection/Followup"
424,81,"20150505","Routine - Unscheduled"
424,94,"20140410","Routine - Unscheduled"
428,96,"20160707","Routine - Unscheduled"
428,100,"20150427","Routine - Unscheduled"
428,100,"20140826","Routine - Unscheduled"
428,,"20140314","Reinspection/Followup"
428,100,"20140306","Routine - Unscheduled"
429,87,"20160602","Routine - Unscheduled"
429,,"20150324","Reinspection/Followup"
429,,"20150226","Reinspection/Followup"
429,82,"20150223","Routine - Unscheduled"
429,92,"20140521","Routine - Unscheduled"
430,,"20160610","Reinspection/Followup"
430,82,"20160520","Routine - Unscheduled"
430,86,"20150114","Routine - Unscheduled"
430,91,"20140522","Routine - Unscheduled"
431,92,"20160525","Routine - Unscheduled"
431,,"20150112","Reinspection/Followup"
431,91,"20141119","Routine - Unscheduled"
435,92,"20161212","Routine - Unscheduled"
435,92,"20151028","Routine - Unscheduled"
435,96,"20140827","Routine - Unscheduled"
435,94,"20140108","Routine - Unscheduled"
436,87,"20161028","Routine - Unscheduled"
436,,"20160624","Reinspection/Followup"
436,,"20160620","Non-inspection site visit"
436,79,"20160608","Routine - Unscheduled"
436,,"20141117","Reinspection/Followup"
436,,"20141103","Reinspection/Followup"
436,81,"20141021","Routine - Unscheduled"
438,90,"20160321","Routine - Unscheduled"
438,,"20160304","New Construction"
438,,"20160203","New Construction"
438,89,"20150421","Routine - Unscheduled"
438,88,"20140402","Routine - Unscheduled"
442,,"20160316","Reinspection/Followup"
442,86,"20160308","Routine - Unscheduled"
442,,"20141029","Reinspection/Followup"
442,83,"20141022","Routine - Unscheduled"
442,92,"20140313","Routine - Unscheduled"
443,92,"20160316","Routine - Unscheduled"
443,,"20141002","Complaint"
443,,"20140924","Reinspection/Followup"
443,89,"20140915","Routine - Unscheduled"
443,90,"20140210","Routine - Unscheduled"
447,96,"20160908","Routine - Unscheduled"
447,,"20150803","Reinspection/Followup"
447,87,"20150723","Routine - Unscheduled"
447,,"20140605","Reinspection/Followup"
447,85,"20140604","Routine - Unscheduled"
448,,"20151028","Reinspection/Followup"
448,84,"20151021","Routine - Unscheduled"
448,,"20140825","Reinspection/Followup"
448,85,"20140818","Routine - Unscheduled"
448,84,"20140108","Routine - Unscheduled"
462,94,"20160520","Routine - Unscheduled"
462,98,"20140915","Routine - Unscheduled"
463,,"20160714","Reinspection/Followup"
463,88,"20160706","Routine - Unscheduled"
463,,"20150226","Reinspection/Followup"
463,85,"20150217","Routine - Unscheduled"
463,,"20150217","Complaint"
463,88,"20140627","Routine - Unscheduled"
468,79,"20161017","Routine - Unscheduled"
468,,"20160610","Reinspection/Followup"
468,74,"20160511","Routine - Unscheduled"
468,,"20141112","Reinspection/Followup"
468,82,"20141107","Routine - Unscheduled"
468,,"20140516","Reinspection/Followup"
468,84,"20140506","Routine - Unscheduled"
470,,"20160927","Reinspection/Followup"
470,87,"20160920","Routine - Unscheduled"
470,94,"20150219","Routine - Unscheduled"
470,94,"20140204","Routine - Unscheduled"
473,94,"20160927","Routine - Unscheduled"
473,,"20150729","Reinspection/Followup"
473,87,"20150720","Routine - Unscheduled"
473,,"20150720","Complaint"
473,,"20150304","Complaint"
473,,"20150220","Complaint"
473,,"20140911","Reinspection/Followup"
473,92,"20140827","Routine - Unscheduled"
473,,"20140319","Complaint"
473,,"20140210","Reinspection/Followup"
473,82,"20140204","Routine - Unscheduled"
475,,"20161212","Reinspection/Followup"
475,,"20161212","Complaint"
475,90,"20161102","Routine - Unscheduled"
475,,"20151014","Reinspection/Followup"
475,90,"20151006","Routine - Unscheduled"
475,,"20140818","Reinspection/Followup"
475,94,"20140811","Routine - Unscheduled"
475,92,"20140205","Routine - Unscheduled"
477,,"20160413","Reinspection/Followup"
477,88,"20160406","Routine - Unscheduled"
477,,"20150309","Reinspection/Followup"
477,88,"20150302","Routine - Unscheduled"
477,,"20140605","Reinspection/Followup"
477,83,"20140604","Routine - Unscheduled"
479,,"20160823","Reinspection/Followup"
479,87,"20160729","Routine - Unscheduled"
479,,"20141103","Reinspection/Followup"
479,,"20141021","Reinspection/Followup"
479,,"20141003","Reinspection/Followup"
479,82,"20141003","Routine - Unscheduled"
480,86,"20160427","Routine - Unscheduled"
480,,"20151216","Complaint"
480,,"20151027","Complaint"
480,,"20140814","Reinspection/Followup"
480,,"20140811","Reinspection/Followup"
480,72,"20140806","Routine - Unscheduled"
483,96,"20160505","Routine - Unscheduled"
483,,"20140919","Reinspection/Followup"
483,75,"20140916","Routine - Unscheduled"
484,91,"20160711","Routine - Unscheduled"
484,,"20140829","Reinspection/Followup"
484,86,"20140822","Routine - Unscheduled"
485,96,"20161207","Routine - Unscheduled"
485,98,"20150923","Routine - Unscheduled"
485,90,"20140911","Routine - Unscheduled"
485,90,"20140205","Routine - Unscheduled"
486,,"20160812","Reinspection/Followup"
486,93,"20160805","Routine - Unscheduled"
486,90,"20150213","Routine - Unscheduled"
486,,"20150108","Non-inspection site visit"
488,,"20160610","Reinspection/Followup"
488,89,"20160525","Routine - Unscheduled"
488,,"20140923","Reinspection/Followup"
488,81,"20140916","Routine - Unscheduled"
489,,"20160729","Reinspection/Followup"
489,79,"20160721","Routine - Unscheduled"
489,,"20160524","Reinspection/Followup"
489,,"20160328","Reinspection/Followup"
489,,"20160321","Reinspection/Followup"
489,,"20160316","Reinspection/Followup"
489,,"20160314","Reinspection/Followup"
489,,"20160309","Reinspection/Followup"
489,69,"20160308","Routine - Unscheduled"
489,,"20150814","Reinspection/Followup"
489,,"20150807","Reinspection/Followup"
489,72,"20150728","Routine - Unscheduled"
489,,"20150202","Reinspection/Followup"
489,,"20150112","Complaint"
489,77,"20150112","Routine - Unscheduled"
489,83,"20140617","Routine - Unscheduled"
494,74,"20160512","Routine - Unscheduled"
494,,"20141120","Reinspection/Followup"
494,,"20141119","Reinspection/Followup"
494,,"20141119","Reinspection/Followup"
494,67,"20141118","Routine - Unscheduled"
494,,"20141118","Reinspection/Followup"
496,91,"20160412","Routine - Unscheduled"
496,,"20150127","Reinspection/Followup"
496,90,"20150107","Routine - Unscheduled"
496,,"20140716","Complaint Reinspection/Followup"
496,84,"20140508","Routine - Unscheduled"
500,,"20161221","Reinspection/Followup"
500,89,"20161128","Routine - Unscheduled"
500,,"20151008","Reinspection/Followup"
500,86,"20150930","Routine - Unscheduled"
500,,"20140820","Reinspection/Followup"
500,81,"20140811","Routine - Unscheduled"
500,77,"20140327","Routine - Unscheduled"
502,98,"20161206","Routine - Unscheduled"
502,100,"20150327","Routine - Unscheduled"
502,92,"20140421","Routine - Unscheduled"
505,,"20160607","Complaint"
505,90,"20160607","Routine - Unscheduled"
505,96,"20150623","Routine - Unscheduled"
505,,"20150622","Non-inspection site visit"
505,,"20150320","Complaint Reinspection/Followup"
505,,"20150302","Complaint"
505,,"20141104","Reinspection/Followup"
505,,"20141024","Reinspection/Followup"
505,78,"20141024","Routine - Unscheduled"
505,94,"20140604","Routine - Unscheduled"
507,90,"20161128","Routine - Unscheduled"
507,,"20160415","Reinspection/Followup"
507,80,"20160324","Routine - Unscheduled"
507,,"20150326","Reinspection/Followup"
507,98,"20150223","Routine - Unscheduled"
507,,"20140908","Reinspection/Followup"
507,94,"20140825","Routine - Unscheduled"
507,96,"20140207","Routine - Unscheduled"
509,,"20160906","Reinspection/Followup"
509,,"20160901","Reinspection/Followup"
509,90,"20160829","Routine - Unscheduled"
509,,"20160328","Reinspection/Followup"
509,79,"20160222","Routine - Unscheduled"
509,,"20150120","Reinspection/Followup"
509,,"20141231","Reinspection/Followup"
509,57,"20141229","Routine - Unscheduled"
509,92,"20140514","Routine - Unscheduled"
509,,"20140304","Non-inspection site visit"
510,87,"20161109","Routine - Unscheduled"
510,88,"20160523","Routine - Unscheduled"
510,90,"20141103","Routine - Unscheduled"
510,,"20141017","Complaint"
510,92,"20140505","Routine - Unscheduled"
510,,"20140304","Non-inspection site visit"
519,,"20161109","Reinspection/Followup"
519,85,"20160809","Routine - Unscheduled"
519,100,"20150122","Routine - Unscheduled"
519,98,"20140609","Routine - Unscheduled"
520,98,"20160520","Routine - Unscheduled"
520,90,"20140611","Routine - Unscheduled"
520,,"20140325","Reinspection/Followup"
520,,"20140102","Reinspection/Followup"
521,,"20161114","Administrative or Document Review"
521,,"20161110","Administrative or Document Review"
521,,"20160915","Reinspection/Followup"
521,68,"20160914","Routine - Unscheduled"
521,,"20150310","Reinspection/Followup"
521,90,"20150203","Routine - Unscheduled"
521,94,"20140724","Routine - Unscheduled"
521,,"20140129","Complaint"
521,89,"20140129","Routine - Unscheduled"
522,94,"20160706","Routine - Unscheduled"
522,,"20160104","Complaint"
522,,"20151124","Complaint"
522,93,"20151124","Routine - Unscheduled"
522,,"20150709","Reinspection/Followup"
522,,"20150709","Complaint"
522,96,"20150630","Routine - Unscheduled"
522,100,"20141212","Routine - Unscheduled"
522,100,"20140530","Routine - Unscheduled"
527,,"20161205","Reinspection/Followup"
527,84,"20161005","Routine - Unscheduled"
