"business_id","date","ViolationTypeID","risk_category","description"
31,"20160816",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
45,"20140909",103145,"Low Risk","Improper storage of equipment utensils or linens"
45,"20140909",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
45,"20140909",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
45,"20160104",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
45,"20160104",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
45,"20160104",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
45,"20160104",103142,"Low Risk","Unclean nonfood contact surfaces"
45,"20160104",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
45,"20160104",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
45,"20160104",103118,"Moderate Risk","Employee eating or smoking"
45,"20160614",103131,"Moderate Risk","Moderate risk vermin infestation"
45,"20160614",103133,"Moderate Risk","Foods not protected from contamination"
45,"20160614",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
45,"20160614",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
45,"20160614",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
48,"20140523",103142,"Low Risk","Unclean nonfood contact surfaces"
48,"20140523",103133,"Moderate Risk","Foods not protected from contamination"
48,"20140523",103161,"Low Risk","Low risk vermin infestation"
50,"20160614",103148,"Low Risk","No thermometers or uncalibrated thermometers "
50,"20160614",103147,"Low Risk","Inadequate ventilation or lighting"
50,"20160614",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
50,"20160614",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
50,"20160614",103121,"Moderate Risk","Inadequate procedures or records for time as a public health control "
50,"20160614",103133,"Moderate Risk","Foods not protected from contamination"
50,"20160614",103157,"Low Risk","Food safety certificate or food handler card not available"
54,"20140325",103130,"Moderate Risk","Inadequate sewage or wastewater disposal"
54,"20140325",103120,"Moderate Risk","Moderate risk food holding temperature "
56,"20141117",103156,"Low Risk","Permit license or inspection report not posted"
56,"20151222",103120,"Moderate Risk","Moderate risk food holding temperature "
56,"20151222",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
56,"20151222",103133,"Moderate Risk","Foods not protected from contamination"
56,"20160802",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
56,"20160802",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
56,"20160802",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
56,"20160802",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
58,"20160407",103103,"High Risk","High risk food holding temperature "
58,"20160407",103148,"Low Risk","No thermometers or uncalibrated thermometers "
58,"20160407",103147,"Low Risk","Inadequate ventilation or lighting"
58,"20160407",103109,"High Risk","Unclean or unsanitary food contact surfaces"
58,"20160407",103105,"High Risk","Improper cooling methods"
58,"20160407",103161,"Low Risk","Low risk vermin infestation"
58,"20140725",103109,"High Risk","Unclean or unsanitary food contact surfaces"
58,"20140725",103114,"High Risk","High risk vermin infestation"
58,"20140725",103120,"Moderate Risk","Moderate risk food holding temperature "
58,"20140725",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
61,"20150827",103142,"Low Risk","Unclean nonfood contact surfaces"
61,"20150827",103133,"Moderate Risk","Foods not protected from contamination"
61,"20150827",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
61,"20140530",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
61,"20140530",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
61,"20140530",103142,"Low Risk","Unclean nonfood contact surfaces"
61,"20160708",103139,"Low Risk","Improper food storage"
61,"20160708",103150,"Low Risk","Improper or defective plumbing"
61,"20160708",103142,"Low Risk","Unclean nonfood contact surfaces"
66,"20141119",103143,"Low Risk","Inadequate warewashing facilities or equipment"
66,"20160322",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
66,"20140210",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
66,"20140519",103165,"Low Risk","No plan review or Building Permit"
66,"20140519",103112,"High Risk","No hot water or running water"
67,"20161019",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
67,"20161019",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
67,"20150520",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
67,"20150520",103145,"Low Risk","Improper storage of equipment utensils or linens"
67,"20150520",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
67,"20160401",103161,"Low Risk","Low risk vermin infestation"
67,"20160401",103109,"High Risk","Unclean or unsanitary food contact surfaces"
67,"20160401",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
67,"20160401",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
67,"20140205",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
67,"20140205",103161,"Low Risk","Low risk vermin infestation"
73,"20160927",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
73,"20160927",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
73,"20160927",103131,"Moderate Risk","Moderate risk vermin infestation"
73,"20150717",103161,"Low Risk","Low risk vermin infestation"
73,"20150717",103103,"High Risk","High risk food holding temperature "
73,"20150717",103138,"Low Risk","Improper storage use or identification of toxic substances"
73,"20150717",103139,"Low Risk","Improper food storage"
73,"20150717",103145,"Low Risk","Improper storage of equipment utensils or linens"
73,"20140522",103133,"Moderate Risk","Foods not protected from contamination"
73,"20140522",103139,"Low Risk","Improper food storage"
73,"20140522",103142,"Low Risk","Unclean nonfood contact surfaces"
76,"20161005",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
76,"20140612",103156,"Low Risk","Permit license or inspection report not posted"
76,"20140612",103145,"Low Risk","Improper storage of equipment utensils or linens"
77,"20161005",103139,"Low Risk","Improper food storage"
77,"20161005",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
77,"20141124",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
77,"20141124",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
77,"20160311",103103,"High Risk","High risk food holding temperature "
77,"20160311",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
77,"20140612",103120,"Moderate Risk","Moderate risk food holding temperature "
77,"20140612",103156,"Low Risk","Permit license or inspection report not posted"
80,"20160412",103139,"Low Risk","Improper food storage"
81,"20150330",103120,"Moderate Risk","Moderate risk food holding temperature "
81,"20140210",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
81,"20140210",103133,"Moderate Risk","Foods not protected from contamination"
88,"20141014",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
88,"20141014",103108,"High Risk","Contaminated or adulterated food"
88,"20141014",103131,"Moderate Risk","Moderate risk vermin infestation"
88,"20141014",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
88,"20141014",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
88,"20141014",103103,"High Risk","High risk food holding temperature "
88,"20150824",103103,"High Risk","High risk food holding temperature "
88,"20150824",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
88,"20150824",103156,"Low Risk","Permit license or inspection report not posted"
88,"20140211",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
88,"20140319",103109,"High Risk","Unclean or unsanitary food contact surfaces"
88,"20140319",103105,"High Risk","Improper cooling methods"
88,"20140211",103103,"High Risk","High risk food holding temperature "
88,"20140211",103142,"Low Risk","Unclean nonfood contact surfaces"
88,"20140211",103108,"High Risk","Contaminated or adulterated food"
88,"20140211",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
95,"20141009",103157,"Low Risk","Food safety certificate or food handler card not available"
95,"20141009",103142,"Low Risk","Unclean nonfood contact surfaces"
95,"20141009",103139,"Low Risk","Improper food storage"
95,"20141009",103114,"High Risk","High risk vermin infestation"
95,"20141009",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
95,"20151210",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
95,"20151210",103142,"Low Risk","Unclean nonfood contact surfaces"
95,"20151210",103131,"Moderate Risk","Moderate risk vermin infestation"
95,"20151210",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
95,"20140506",103142,"Low Risk","Unclean nonfood contact surfaces"
95,"20140506",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
95,"20140506",103129,"Moderate Risk","Insufficient hot water or running water"
95,"20140506",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
95,"20140506",103156,"Low Risk","Permit license or inspection report not posted"
95,"20160718",103131,"Moderate Risk","Moderate risk vermin infestation"
95,"20160718",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
95,"20160718",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
95,"20160718",103142,"Low Risk","Unclean nonfood contact surfaces"
95,"20160718",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
98,"20150629",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
98,"20150629",103131,"Moderate Risk","Moderate risk vermin infestation"
98,"20160316",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
98,"20140324",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
99,"20150811",103147,"Low Risk","Inadequate ventilation or lighting"
99,"20150811",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
99,"20150811",103131,"Moderate Risk","Moderate risk vermin infestation"
99,"20150811",103132,"Moderate Risk","Improper thawing methods "
99,"20150811",103133,"Moderate Risk","Foods not protected from contamination"
99,"20150811",103145,"Low Risk","Improper storage of equipment utensils or linens"
99,"20150811",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
99,"20150811",103139,"Low Risk","Improper food storage"
101,"20140902",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
101,"20160525",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
102,"20161103",103109,"High Risk","Unclean or unsanitary food contact surfaces"
102,"20161103",103157,"Low Risk","Food safety certificate or food handler card not available"
102,"20161103",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
102,"20161103",103142,"Low Risk","Unclean nonfood contact surfaces"
102,"20140507",103109,"High Risk","Unclean or unsanitary food contact surfaces"
102,"20140507",103147,"Low Risk","Inadequate ventilation or lighting"
108,"20150417",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
108,"20150417",103133,"Moderate Risk","Foods not protected from contamination"
116,"20140910",103120,"Moderate Risk","Moderate risk food holding temperature "
116,"20160527",103105,"High Risk","Improper cooling methods"
116,"20160527",103150,"Low Risk","Improper or defective plumbing"
116,"20160527",103118,"Moderate Risk","Employee eating or smoking"
116,"20160527",103109,"High Risk","Unclean or unsanitary food contact surfaces"
116,"20160527",103156,"Low Risk","Permit license or inspection report not posted"
116,"20160527",103157,"Low Risk","Food safety certificate or food handler card not available"
121,"20151020",103138,"Low Risk","Improper storage use or identification of toxic substances"
121,"20151020",103131,"Moderate Risk","Moderate risk vermin infestation"
121,"20151020",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
121,"20151020",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
121,"20140129",103139,"Low Risk","Improper food storage"
121,"20140129",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
121,"20140129",103103,"High Risk","High risk food holding temperature "
121,"20140813",103161,"Low Risk","Low risk vermin infestation"
121,"20140813",103150,"Low Risk","Improper or defective plumbing"
121,"20140813",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
121,"20140813",103133,"Moderate Risk","Foods not protected from contamination"
125,"20160520",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
125,"20160520",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
125,"20160520",103161,"Low Risk","Low risk vermin infestation"
126,"20141028",103103,"High Risk","High risk food holding temperature "
126,"20141028",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
126,"20141028",103151,"Low Risk","Inadequate or unsanitary refuse containers or area or no garbage service"
126,"20141028",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
126,"20141028",103133,"Moderate Risk","Foods not protected from contamination"
126,"20141028",103131,"Moderate Risk","Moderate risk vermin infestation"
126,"20141028",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
126,"20151201",103139,"Low Risk","Improper food storage"
126,"20151201",103133,"Moderate Risk","Foods not protected from contamination"
126,"20151201",103131,"Moderate Risk","Moderate risk vermin infestation"
126,"20151201",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
126,"20151201",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
126,"20151201",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
126,"20151201",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
126,"20140410",103142,"Low Risk","Unclean nonfood contact surfaces"
126,"20140410",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
126,"20140410",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
126,"20140410",103139,"Low Risk","Improper food storage"
126,"20140410",103108,"High Risk","Contaminated or adulterated food"
126,"20140410",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
126,"20140410",103114,"High Risk","High risk vermin infestation"
126,"20140410",103133,"Moderate Risk","Foods not protected from contamination"
132,"20150225",103153,"Low Risk","Inadequate dressing rooms or improper storage of personal items"
132,"20150225",103142,"Low Risk","Unclean nonfood contact surfaces"
132,"20150225",103139,"Low Risk","Improper food storage"
132,"20150225",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
132,"20150225",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
132,"20150225",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
132,"20160509",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
132,"20160509",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
132,"20160509",103112,"High Risk","No hot water or running water"
132,"20160509",103139,"Low Risk","Improper food storage"
132,"20160509",103141,"Low Risk","Improper food labeling or menu misrepresentation"
132,"20140625",103139,"Low Risk","Improper food storage"
132,"20140625",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
132,"20140625",103120,"Moderate Risk","Moderate risk food holding temperature "
132,"20140625",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
134,"20150806",103145,"Low Risk","Improper storage of equipment utensils or linens"
140,"20160414",103156,"Low Risk","Permit license or inspection report not posted"
140,"20160414",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
140,"20160414",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
140,"20160414",103103,"High Risk","High risk food holding temperature "
140,"20140709",103120,"Moderate Risk","Moderate risk food holding temperature "
141,"20140409",103139,"Low Risk","Improper food storage"
146,"20161017",103120,"Moderate Risk","Moderate risk food holding temperature "
146,"20161017",103139,"Low Risk","Improper food storage"
146,"20161017",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
146,"20161017",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
146,"20161017",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
146,"20150723",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
146,"20150723",103103,"High Risk","High risk food holding temperature "
146,"20160407",103120,"Moderate Risk","Moderate risk food holding temperature "
146,"20160407",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
146,"20160407",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
146,"20160407",103133,"Moderate Risk","Foods not protected from contamination"
146,"20160407",103161,"Low Risk","Low risk vermin infestation"
146,"20140429",103161,"Low Risk","Low risk vermin infestation"
151,"20150520",103138,"Low Risk","Improper storage use or identification of toxic substances"
151,"20150520",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
151,"20150520",103103,"High Risk","High risk food holding temperature "
151,"20140312",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
151,"20140312",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
151,"20160726",103129,"Moderate Risk","Insufficient hot water or running water"
151,"20160726",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
155,"20150610",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
155,"20150610",103114,"High Risk","High risk vermin infestation"
155,"20150610",103157,"Low Risk","Food safety certificate or food handler card not available"
155,"20151229",103114,"High Risk","High risk vermin infestation"
155,"20140224",103161,"Low Risk","Low risk vermin infestation"
155,"20140224",103157,"Low Risk","Food safety certificate or food handler card not available"
155,"20140224",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
155,"20140623",103150,"Low Risk","Improper or defective plumbing"
155,"20140623",103152,"Low Risk","Unclean unmaintained or improperly constructed toilet facilities"
155,"20140623",103157,"Low Risk","Food safety certificate or food handler card not available"
164,"20161110",103103,"High Risk","High risk food holding temperature "
164,"20161110",103156,"Low Risk","Permit license or inspection report not posted"
164,"20161110",103117,"Moderate Risk","Discharge from employee nose mouth or eye"
164,"20151106",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
164,"20151106",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
178,"20140204",103133,"Moderate Risk","Foods not protected from contamination"
178,"20140730",103157,"Low Risk","Food safety certificate or food handler card not available"
178,"20140730",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
178,"20140730",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
178,"20160623",103139,"Low Risk","Improper food storage"
178,"20160623",103102,"High Risk","Unclean hands or improper use of gloves"
178,"20160623",103103,"High Risk","High risk food holding temperature "
178,"20160623",103133,"Moderate Risk","Foods not protected from contamination"
178,"20160623",103142,"Low Risk","Unclean nonfood contact surfaces"
178,"20160623",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
178,"20160623",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
178,"20160623",103156,"Low Risk","Permit license or inspection report not posted"
178,"20160623",103147,"Low Risk","Inadequate ventilation or lighting"
178,"20160623",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
179,"20140522",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
179,"20140522",103120,"Moderate Risk","Moderate risk food holding temperature "
180,"20161220",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
180,"20161220",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
180,"20141104",103114,"High Risk","High risk vermin infestation"
180,"20141104",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
180,"20160106",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
180,"20160106",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
180,"20160106",103157,"Low Risk","Food safety certificate or food handler card not available"
180,"20160106",103120,"Moderate Risk","Moderate risk food holding temperature "
180,"20160617",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
184,"20161003",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
184,"20140923",103139,"Low Risk","Improper food storage"
184,"20140923",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
187,"20160511",103120,"Moderate Risk","Moderate risk food holding temperature "
187,"20160511",103107,"High Risk","Improper reheating of food"
190,"20150327",103156,"Low Risk","Permit license or inspection report not posted"
190,"20150327",103120,"Moderate Risk","Moderate risk food holding temperature "
190,"20150327",103150,"Low Risk","Improper or defective plumbing"
190,"20140421",103156,"Low Risk","Permit license or inspection report not posted"
192,"20140813",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
192,"20140813",103139,"Low Risk","Improper food storage"
192,"20140813",103120,"Moderate Risk","Moderate risk food holding temperature "
192,"20160628",103139,"Low Risk","Improper food storage"
192,"20160628",103120,"Moderate Risk","Moderate risk food holding temperature "
192,"20160628",103131,"Moderate Risk","Moderate risk vermin infestation"
194,"20150420",103120,"Moderate Risk","Moderate risk food holding temperature "
194,"20150420",103108,"High Risk","Contaminated or adulterated food"
194,"20150420",103102,"High Risk","Unclean hands or improper use of gloves"
194,"20150420",103157,"Low Risk","Food safety certificate or food handler card not available"
194,"20140307",103142,"Low Risk","Unclean nonfood contact surfaces"
194,"20140305",103165,"Low Risk","No plan review or Building Permit"
194,"20140307",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
194,"20140305",103120,"Moderate Risk","Moderate risk food holding temperature "
194,"20140305",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
194,"20140305",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
198,"20150206",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
198,"20150206",103157,"Low Risk","Food safety certificate or food handler card not available"
198,"20151029",103120,"Moderate Risk","Moderate risk food holding temperature "
198,"20151029",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
198,"20140505",103132,"Moderate Risk","Improper thawing methods "
200,"20150129",103109,"High Risk","Unclean or unsanitary food contact surfaces"
200,"20150129",103131,"Moderate Risk","Moderate risk vermin infestation"
200,"20150129",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
200,"20151001",103120,"Moderate Risk","Moderate risk food holding temperature "
200,"20151001",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
200,"20140317",103120,"Moderate Risk","Moderate risk food holding temperature "
200,"20140317",103139,"Low Risk","Improper food storage"
200,"20140317",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
208,"20150212",103131,"Moderate Risk","Moderate risk vermin infestation"
208,"20150212",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
208,"20151007",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
208,"20151007",103120,"Moderate Risk","Moderate risk food holding temperature "
208,"20151007",103161,"Low Risk","Low risk vermin infestation"
208,"20140313",103103,"High Risk","High risk food holding temperature "
208,"20140313",103161,"Low Risk","Low risk vermin infestation"
217,"20160912",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
217,"20160912",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
217,"20160912",103120,"Moderate Risk","Moderate risk food holding temperature "
217,"20160912",103145,"Low Risk","Improper storage of equipment utensils or linens"
217,"20150818",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
217,"20150818",103145,"Low Risk","Improper storage of equipment utensils or linens"
217,"20150818",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
217,"20160329",103142,"Low Risk","Unclean nonfood contact surfaces"
217,"20160329",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
217,"20160329",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
217,"20140624",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
217,"20140624",103143,"Low Risk","Inadequate warewashing facilities or equipment"
221,"20140122",103114,"High Risk","High risk vermin infestation"
221,"20140122",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
226,"20140910",103103,"High Risk","High risk food holding temperature "
226,"20140910",103156,"Low Risk","Permit license or inspection report not posted"
226,"20140910",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
226,"20160523",103150,"Low Risk","Improper or defective plumbing"
226,"20160523",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
226,"20160523",103109,"High Risk","Unclean or unsanitary food contact surfaces"
226,"20160523",103105,"High Risk","Improper cooling methods"
231,"20140902",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
231,"20140902",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
231,"20140902",103138,"Low Risk","Improper storage use or identification of toxic substances"
231,"20160301",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
231,"20160301",103133,"Moderate Risk","Foods not protected from contamination"
231,"20160301",103139,"Low Risk","Improper food storage"
231,"20160301",103143,"Low Risk","Inadequate warewashing facilities or equipment"
231,"20160301",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
231,"20140204",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
231,"20140204",103139,"Low Risk","Improper food storage"
231,"20140204",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
234,"20160503",103131,"Moderate Risk","Moderate risk vermin infestation"
234,"20160503",103133,"Moderate Risk","Foods not protected from contamination"
234,"20160503",103143,"Low Risk","Inadequate warewashing facilities or equipment"
234,"20160503",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
234,"20160927",103133,"Moderate Risk","Foods not protected from contamination"
234,"20160927",103157,"Low Risk","Food safety certificate or food handler card not available"
234,"20160927",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
234,"20160927",103142,"Low Risk","Unclean nonfood contact surfaces"
234,"20160503",103103,"High Risk","High risk food holding temperature "
234,"20160927",103139,"Low Risk","Improper food storage"
234,"20160927",103105,"High Risk","Improper cooling methods"
234,"20150505",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
234,"20150505",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
234,"20150505",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
234,"20150505",103131,"Moderate Risk","Moderate risk vermin infestation"
234,"20150505",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
234,"20150505",103121,"Moderate Risk","Inadequate procedures or records for time as a public health control "
234,"20140415",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
