"business_id","date","description"
88,"20140319","Improper cooling methods  [ date violation corrected: 10/14/2014 ]"
88,"20140319","Unclean or unsanitary food contact surfaces  [ date violation corrected: 10/14/2014 ]"
88,"20140211","High risk food holding temperature   [ date violation corrected: 10/14/2014 ]"
88,"20140211","Contaminated or adulterated food  [ date violation corrected: 3/19/2014 ]"
88,"20140211","Unclean nonfood contact surfaces  [ date violation corrected: 10/14/2014 ]"
88,"20140211","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/14/2014 ]"
88,"20140211","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 2/25/2014 ]"
95,"20160718","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/29/2016 ]"
95,"20160718","Moderate risk vermin infestation  [ date violation corrected: 8/29/2016 ]"
95,"20160718","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 8/29/2016 ]"
95,"20160718","Unclean or degraded floors walls or ceilings  [ date violation corrected: 8/29/2016 ]"
95,"20160718","Unclean nonfood contact surfaces  [ date violation corrected: 8/29/2016 ]"
95,"20151210","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 6/28/2016 ]"
95,"20151210","Moderate risk vermin infestation  [ date violation corrected: 6/28/2016 ]"
95,"20151210","Unclean or degraded floors walls or ceilings  [ date violation corrected: 6/28/2016 ]"
95,"20151210","Unclean nonfood contact surfaces  [ date violation corrected: 6/28/2016 ]"
95,"20141009","Unclean nonfood contact surfaces  [ date violation corrected: 12/1/2015 ]"
95,"20141009","Improper food storage  [ date violation corrected: 12/1/2015 ]"
95,"20141009","Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/1/2015 ]"
95,"20141009","Food safety certificate or food handler card not available  [ date violation corrected: 12/1/2015 ]"
95,"20141009","High risk vermin infestation  [ date violation corrected: 12/1/2015 ]"
95,"20140506","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 5/23/2014 ]"
95,"20140506","Insufficient hot water or running water  [ date violation corrected: 5/23/2014 ]"
95,"20140506","Unclean nonfood contact surfaces  [ date violation corrected: 5/23/2014 ]"
95,"20140506","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 10/7/2014 ]"
95,"20140506","Permit license or inspection report not posted  [ date violation corrected: 5/23/2014 ]"
98,"20160316","Inadequate food safety knowledge or lack of certified food safety manager"
98,"20150629","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/16/2016 ]"
98,"20150629","Moderate risk vermin infestation  [ date violation corrected: 6/29/2015 ]"
98,"20140324","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 3/24/2014 ]"
99,"20150811","Moderate risk vermin infestation  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Improper storage of equipment utensils or linens  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Improper food storage  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Inadequate ventilation or lighting  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Foods not protected from contamination  [ date violation corrected: 8/18/2015 ]"
99,"20150811","Improper thawing methods   [ date violation corrected: 8/18/2015 ]"
101,"20160525","Unclean or degraded floors walls or ceilings"
101,"20140902","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 5/25/2016 ]"
102,"20161103","Unclean or unsanitary food contact surfaces  [ date violation corrected: 11/3/2016 ]"
102,"20161103","Unclean nonfood contact surfaces"
102,"20161103","Food safety certificate or food handler card not available"
102,"20161103","Inadequate and inaccessible handwashing facilities"
102,"20140507","Inadequate ventilation or lighting  [ date violation corrected: 5/14/2014 ]"
102,"20140507","Unclean or unsanitary food contact surfaces  [ date violation corrected: 5/7/2014 ]"
108,"20150417","Foods not protected from contamination"
108,"20150417","Unapproved or unmaintained equipment or utensils"
116,"20160527","Unclean or unsanitary food contact surfaces  [ date violation corrected: 6/10/2016 ]"
116,"20160527","Permit license or inspection report not posted  [ date violation corrected: 6/10/2016 ]"
116,"20160527","Employee eating or smoking  [ date violation corrected: 6/10/2016 ]"
116,"20160527","Food safety certificate or food handler card not available  [ date violation corrected: 6/10/2016 ]"
116,"20160527","Improper or defective plumbing  [ date violation corrected: 6/10/2016 ]"
116,"20160527","Improper cooling methods"
116,"20140910","Moderate risk food holding temperature   [ date violation corrected: 5/27/2016 ]"
121,"20151020","Moderate risk vermin infestation  [ date violation corrected: 10/29/2015 ]"
121,"20151020","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 10/29/2015 ]"
121,"20151020","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 10/29/2015 ]"
121,"20151020","Improper storage use or identification of toxic substances  [ date violation corrected: 10/29/2015 ]"
121,"20140813","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 8/20/2014 ]"
121,"20140813","Low risk vermin infestation  [ date violation corrected: 8/20/2014 ]"
121,"20140813","Foods not protected from contamination  [ date violation corrected: 8/20/2014 ]"
121,"20140813","Improper or defective plumbing  [ date violation corrected: 8/20/2014 ]"
121,"20140129","Improper food storage  [ date violation corrected: 2/12/2014 ]"
121,"20140129","High risk food holding temperature   [ date violation corrected: 2/12/2014 ]"
121,"20140129","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 2/12/2014 ]"
125,"20160520","Low risk vermin infestation"
125,"20160520","Inadequately cleaned or sanitized food contact surfaces"
125,"20160520","Unclean or degraded floors walls or ceilings"
126,"20151201","Unapproved or unmaintained equipment or utensils"
126,"20151201","Inadequately cleaned or sanitized food contact surfaces"
126,"20151201","Moderate risk vermin infestation"
126,"20151201","Improper food storage"
126,"20151201","Foods not protected from contamination"
126,"20151201","Wiping cloths not clean or properly stored or inadequate sanitizer"
126,"20151201","Unclean or degraded floors walls or ceilings"
126,"20141028","Inadequate or unsanitary refuse containers or area or no garbage service  [ date violation corrected: 11/3/2014 ]"
126,"20141028","Foods not protected from contamination  [ date violation corrected: 11/3/2014 ]"
126,"20141028","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 11/3/2014 ]"
126,"20141028","High risk food holding temperature   [ date violation corrected: 10/28/2014 ]"
126,"20141028","Unclean or degraded floors walls or ceilings  [ date violation corrected: 11/3/2014 ]"
126,"20141028","Moderate risk vermin infestation  [ date violation corrected: 11/3/2014 ]"
126,"20141028","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 11/3/2014 ]"
126,"20140410","Contaminated or adulterated food  [ date violation corrected: 10/28/2014 ]"
126,"20140410","Foods not protected from contamination  [ date violation corrected: 10/28/2014 ]"
126,"20140410","Unclean nonfood contact surfaces  [ date violation corrected: 10/28/2014 ]"
126,"20140410","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 10/28/2014 ]"
126,"20140410","Improper food storage  [ date violation corrected: 10/28/2014 ]"
126,"20140410","High risk vermin infestation  [ date violation corrected: 10/28/2014 ]"
126,"20140410","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/28/2014 ]"
126,"20140410","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 10/28/2014 ]"
132,"20160509","Improper food labeling or menu misrepresentation"
132,"20160509","No hot water or running water  [ date violation corrected: 5/9/2016 ]"
132,"20160509","Improper food storage"
132,"20160509","Inadequately cleaned or sanitized food contact surfaces"
132,"20160509","Inadequate and inaccessible handwashing facilities"
132,"20150225","Unclean nonfood contact surfaces  [ date violation corrected: 5/9/2016 ]"
132,"20150225","Improper food storage  [ date violation corrected: 5/9/2016 ]"
132,"20150225","Inadequate dressing rooms or improper storage of personal items  [ date violation corrected: 5/9/2016 ]"
132,"20150225","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 5/9/2016 ]"
132,"20150225","Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/9/2016 ]"
132,"20150225","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 5/9/2016 ]"
132,"20140625","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 7/17/2014 ]"
132,"20140625","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 7/17/2014 ]"
132,"20140625","Improper food storage  [ date violation corrected: 7/17/2014 ]"
132,"20140625","Moderate risk food holding temperature   [ date violation corrected: 7/17/2014 ]"
134,"20150806","Improper storage of equipment utensils or linens"
140,"20160414","High risk food holding temperature   [ date violation corrected: 4/14/2016 ]"
140,"20160414","Permit license or inspection report not posted  [ date violation corrected: 4/14/2016 ]"
140,"20160414","Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/20/2016 ]"
140,"20160414","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 5/20/2016 ]"
140,"20140709","Moderate risk food holding temperature   [ date violation corrected: 4/14/2016 ]"
141,"20140409","Improper food storage  [ date violation corrected: 10/17/2014 ]"
146,"20161017","Inadequately cleaned or sanitized food contact surfaces"
146,"20161017","Moderate risk food holding temperature "
146,"20161017","Unclean or degraded floors walls or ceilings"
146,"20161017","Improper food storage"
146,"20161017","Inadequate food safety knowledge or lack of certified food safety manager"
146,"20160407","Low risk vermin infestation  [ date violation corrected: 10/17/2016 ]"
146,"20160407","Moderate risk food holding temperature   [ date violation corrected: 10/17/2016 ]"
146,"20160407","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 10/17/2016 ]"
146,"20160407","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 10/17/2016 ]"
146,"20160407","Foods not protected from contamination  [ date violation corrected: 10/17/2016 ]"
146,"20150723","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 4/7/2016 ]"
146,"20150723","High risk food holding temperature   [ date violation corrected: 4/7/2016 ]"
146,"20140429","Low risk vermin infestation  [ date violation corrected: 4/29/2014 ]"
151,"20160726","Insufficient hot water or running water"
151,"20160726","Inadequately cleaned or sanitized food contact surfaces"
151,"20150520","Improper storage use or identification of toxic substances  [ date violation corrected: 6/29/2015 ]"
151,"20150520","High risk food holding temperature   [ date violation corrected: 6/29/2015 ]"
151,"20150520","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 6/29/2015 ]"
151,"20140312","Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/20/2015 ]"
151,"20140312","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 5/20/2015 ]"
155,"20151229","High risk vermin infestation"
155,"20150610","Food safety certificate or food handler card not available  [ date violation corrected: 6/18/2015 ]"
155,"20150610","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 6/18/2015 ]"
155,"20150610","High risk vermin infestation  [ date violation corrected: 6/18/2015 ]"
155,"20140623","Unclean unmaintained or improperly constructed toilet facilities  [ date violation corrected: 7/22/2014 ]"
155,"20140623","Food safety certificate or food handler card not available  [ date violation corrected: 7/22/2014 ]"
155,"20140623","Improper or defective plumbing  [ date violation corrected: 7/22/2014 ]"
155,"20140224","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 6/23/2014 ]"
155,"20140224","Food safety certificate or food handler card not available  [ date violation corrected: 6/23/2014 ]"
155,"20140224","Low risk vermin infestation  [ date violation corrected: 6/23/2014 ]"
164,"20161110","High risk food holding temperature "
164,"20161110","Discharge from employee nose mouth or eye"
164,"20161110","Permit license or inspection report not posted"
164,"20151106","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 11/10/2016 ]"
164,"20151106","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 11/10/2016 ]"
178,"20160623","Unclean hands or improper use of gloves  [ date violation corrected: 6/23/2016 ]"
178,"20160623","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 7/8/2016 ]"
178,"20160623","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 6/23/2016 ]"
178,"20160623","Foods not protected from contamination  [ date violation corrected: 7/8/2016 ]"
178,"20160623","Unclean nonfood contact surfaces  [ date violation corrected: 7/8/2016 ]"
178,"20160623","Inadequate ventilation or lighting  [ date violation corrected: 7/8/2016 ]"
178,"20160623","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 7/8/2016 ]"
178,"20160623","Improper food storage  [ date violation corrected: 7/8/2016 ]"
178,"20160623","High risk food holding temperature   [ date violation corrected: 7/8/2016 ]"
178,"20160623","Permit license or inspection report not posted"
178,"20140730","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 6/23/2016 ]"
178,"20140730","Food safety certificate or food handler card not available  [ date violation corrected: 6/23/2016 ]"
178,"20140730","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 6/23/2016 ]"
178,"20140204","Foods not protected from contamination  [ date violation corrected: 7/30/2014 ]"
179,"20140522","Moderate risk food holding temperature "
179,"20140522","Unapproved or unmaintained equipment or utensils"
180,"20161220","Inadequate and inaccessible handwashing facilities"
180,"20161220","Wiping cloths not clean or properly stored or inadequate sanitizer"
180,"20160617","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 11/28/2016 ]"
180,"20160106","Food safety certificate or food handler card not available  [ date violation corrected: 5/31/2016 ]"
180,"20160106","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 5/31/2016 ]"
180,"20160106","Moderate risk food holding temperature   [ date violation corrected: 5/31/2016 ]"
180,"20160106","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 5/31/2016 ]"
180,"20141104","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 12/28/2015 ]"
180,"20141104","High risk vermin infestation  [ date violation corrected: 12/28/2015 ]"
184,"20161003","Wiping cloths not clean or properly stored or inadequate sanitizer"
184,"20140923","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/3/2016 ]"
184,"20140923","Improper food storage  [ date violation corrected: 10/3/2016 ]"
187,"20160511","Moderate risk food holding temperature "
187,"20160511","Improper reheating of food  [ date violation corrected: 5/11/2016 ]"
190,"20150327","Improper or defective plumbing  [ date violation corrected: 12/6/2016 ]"
190,"20150327","Moderate risk food holding temperature   [ date violation corrected: 12/6/2016 ]"
190,"20150327","Permit license or inspection report not posted  [ date violation corrected: 12/6/2016 ]"
190,"20140421","Permit license or inspection report not posted  [ date violation corrected: 3/27/2015 ]"
192,"20160628","Moderate risk food holding temperature "
192,"20160628","Moderate risk vermin infestation"
192,"20160628","Improper food storage"
192,"20140813","Improper food storage  [ date violation corrected: 6/28/2016 ]"
192,"20140813","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 6/28/2016 ]"
192,"20140813","Moderate risk food holding temperature   [ date violation corrected: 6/28/2016 ]"
194,"20150420","Food safety certificate or food handler card not available  [ date violation corrected: 4/29/2015 ]"
194,"20150420","Moderate risk food holding temperature   [ date violation corrected: 4/29/2015 ]"
194,"20150420","Contaminated or adulterated food  [ date violation corrected: 4/29/2015 ]"
194,"20150420","Unclean hands or improper use of gloves  [ date violation corrected: 4/29/2015 ]"
194,"20140307","Unclean nonfood contact surfaces  [ date violation corrected: 4/20/2015 ]"
194,"20140307","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 4/20/2015 ]"
194,"20140305","Moderate risk food holding temperature   [ date violation corrected: 3/7/2014 ]"
194,"20140305","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 3/7/2014 ]"
194,"20140305","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 4/20/2015 ]"
194,"20140305","No plan review or Building Permit  [ date violation corrected: 3/25/2014 ]"
198,"20151029","Inadequately cleaned or sanitized food contact surfaces"
198,"20151029","Moderate risk food holding temperature "
198,"20150206","Food safety certificate or food handler card not available  [ date violation corrected: 10/29/2015 ]"
198,"20150206","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 10/29/2015 ]"
198,"20140505","Improper thawing methods   [ date violation corrected: 5/5/2014 ]"
200,"20151001","Unapproved or unmaintained equipment or utensils"
200,"20151001","Moderate risk food holding temperature "
200,"20150129","Moderate risk vermin infestation  [ date violation corrected: 2/20/2015 ]"
200,"20150129","Unclean or unsanitary food contact surfaces  [ date violation corrected: 2/20/2015 ]"
200,"20150129","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 10/1/2015 ]"
200,"20140317","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 1/29/2015 ]"
200,"20140317","Moderate risk food holding temperature   [ date violation corrected: 1/29/2015 ]"
200,"20140317","Improper food storage  [ date violation corrected: 1/29/2015 ]"
208,"20151007","Wiping cloths not clean or properly stored or inadequate sanitizer"
208,"20151007","Moderate risk food holding temperature "
208,"20151007","Low risk vermin infestation"
208,"20150212","Moderate risk vermin infestation  [ date violation corrected: 2/24/2015 ]"
208,"20150212","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 2/24/2015 ]"
208,"20140313","Low risk vermin infestation  [ date violation corrected: 4/15/2014 ]"
208,"20140313","High risk food holding temperature   [ date violation corrected: 4/15/2014 ]"
217,"20160912","Moderate risk food holding temperature "
217,"20160912","Unclean or degraded floors walls or ceilings"
217,"20160912","Improper storage of equipment utensils or linens"
217,"20160912","Wiping cloths not clean or properly stored or inadequate sanitizer"
217,"20160329","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/29/2016 ]"
217,"20160329","Unclean nonfood contact surfaces  [ date violation corrected: 8/29/2016 ]"
